"Source.Name","tanggal","pm10","so2","co","o3","no2","max","critical","categori","location"
"a.csv","1/1/2021","43","58","29","35","65","65","O3","SEDANG","DKI2"
"a.csv","1/2/2021","58","86","38","64","80","86","PM25","SEDANG","DKI3"
"a.csv","1/3/2021","64","93","25","62","86","93","PM25","SEDANG","DKI3"
"a.csv","1/4/2021","50","67","24","31","77","77","O3","SEDANG","DKI2"
"a.csv","1/5/2021","59","89","24","35","77","89","PM25","SEDANG","DKI3"
"a.csv","1/6/2021","73","81","29","66","85","85","O3","SEDANG","DKI2"
"a.csv","1/7/2021","36","52","22","55","72","72","O3","SEDANG","DKI2"
"a.csv","1/8/2021","38","68","26","51","71","71","O3","SEDANG","DKI2"
"a.csv","1/9/2021","60","77","34","42","80","80","O3","SEDANG","DKI2"
"a.csv","1/10/2021","24","39","16","38","59","59","O3","SEDANG","DKI2"
"a.csv","1/11/2021","51","72","17","57","68","72","PM25","SEDANG","DKI3"
"a.csv","1/12/2021","29","58","20","44","77","77","O3","SEDANG","DKI2"
"a.csv","1/13/2021","36","47","17","32","68","68","O3","SEDANG","DKI2"
"a.csv","1/14/2021","36","78","20","38","65","78","PM25","SEDANG","DKI3"
"a.csv","1/15/2021","52","82","20","56","65","82","PM25","SEDANG","DKI3"
"a.csv","1/16/2021","70","92","19","38","67","92","PM25","SEDANG","DKI3"
"a.csv","1/17/2021","58","86","22","41","93","93","O3","SEDANG","DKI2"
"a.csv","1/18/2021","51","64","21","37","78","78","O3","SEDANG","DKI2"
"a.csv","1/19/2021","42","56","19","35","58","58","O3","SEDANG","DKI2"
"a.csv","1/20/2021","54","45","17","33","72","72","O3","SEDANG","DKI2"
"a.csv","1/21/2021","63","51","21","38","67","67","O3","SEDANG","DKI2"
"a.csv","1/22/2021","84","112","32","54","67","112","PM25","TIDAK SEHAT","DKI3"
"a.csv","1/23/2021","89","126","47","61","104","126","PM25","TIDAK SEHAT","DKI3"
"a.csv","1/24/2021","64","90","19","31","75","90","PM25","SEDANG","DKI3"
"a.csv","1/25/2021","62","95","29","67","134","134","O3","TIDAK SEHAT","DKI2"
"a.csv","1/26/2021","57","79","34","39","71","79","PM25","SEDANG","DKI3"
"a.csv","1/27/2021","33","37","25","20","63","63","O3","SEDANG","DKI2"
"a.csv","1/28/2021","28","49","25","28","53","53","O3","SEDANG","DKI2"
"a.csv","1/29/2021","30","53","26","36","65","65","O3","SEDANG","DKI2"
"a.csv","1/30/2021","46","39","25","32","64","64","O3","SEDANG","DKI2"
"a.csv","1/31/2021","41","55","24","29","68","68","O3","SEDANG","DKI2"
"b.csv","2/1/2021","73","38","26","46","34","126","PM25","TIDAK SEHAT",""
"b.csv","2/2/2021","53","40","14","55","25","70","PM25","SEDANG",""
"b.csv","2/3/2021","32","40","11","42","19","53","PM25","SEDANG",""
"b.csv","2/4/2021","36","40","14","47","24","59","PM25","SEDANG",""
"b.csv","2/5/2021","29","40","14","45","35","51","PM25","SEDANG",""
"b.csv","2/6/2021","34","40","8","57","15","57","O3","SEDANG",""
"b.csv","2/7/2021","33","40","10","57","13","57","O3","SEDANG",""
